captured_kst,language,positive,negative,total,positive_ratio
2026-06-19 23:05:06,german,2,0,2,1.0
2026-06-19 23:05:06,vietnamese,0,1,1,0.0
2026-06-19 23:05:06,japanese,1,0,1,1.0
2026-06-19 23:35:06,collected_all,269,105,374,0.7193
2026-06-19 23:35:06,steam_total,268,105,373,0.7185
2026-06-19 23:35:06,deleted_count,,,0,
2026-06-19 23:35:06,schinese,102,73,175,0.5829
2026-06-19 23:35:06,english,73,5,78,0.9359
2026-06-19 23:35:06,koreana,46,9,55,0.8364
2026-06-19 23:35:06,tchinese,18,15,33,0.5455
2026-06-19 23:35:06,russian,8,1,9,0.8889
2026-06-19 23:35:06,brazilian,3,0,3,1.0
2026-06-19 23:35:06,thai,3,0,3,1.0
2026-06-19 23:35:06,latam,3,0,3,1.0
2026-06-19 23:35:06,turkish,3,0,3,1.0
2026-06-19 23:35:06,spanish,2,1,3,0.6667
2026-06-19 23:35:06,french,2,0,2,1.0
2026-06-19 23:35:06,ukrainian,2,0,2,1.0
2026-06-19 23:35:06,german,2,0,2,1.0
2026-06-19 23:35:06,vietnamese,0,1,1,0.0
2026-06-19 23:35:06,japanese,1,0,1,1.0
2026-06-19 23:35:06,polish,1,0,1,1.0
2026-06-20 00:03:45,collected_all,269,105,374,0.7193
2026-06-20 00:03:45,steam_total,278,108,386,0.7202
2026-06-20 00:03:45,deleted_count,,,0,
2026-06-20 00:03:45,schinese,102,73,175,0.5829
2026-06-20 00:03:45,english,73,5,78,0.9359
2026-06-20 00:03:45,koreana,46,9,55,0.8364
2026-06-20 00:03:45,tchinese,18,15,33,0.5455
2026-06-20 00:03:45,russian,8,1,9,0.8889
2026-06-20 00:03:45,brazilian,3,0,3,1.0
2026-06-20 00:03:45,thai,3,0,3,1.0
2026-06-20 00:03:45,latam,3,0,3,1.0
2026-06-20 00:03:45,turkish,3,0,3,1.0
2026-06-20 00:03:45,spanish,2,1,3,0.6667
2026-06-20 00:03:45,french,2,0,2,1.0
2026-06-20 00:03:45,ukrainian,2,0,2,1.0
2026-06-20 00:03:45,german,2,0,2,1.0
2026-06-20 00:03:45,vietnamese,0,1,1,0.0
2026-06-20 00:03:45,japanese,1,0,1,1.0
2026-06-20 00:03:45,polish,1,0,1,1.0
2026-06-20 00:05:07,collected_all,269,105,374,0.7193
2026-06-20 00:05:07,steam_total,278,108,386,0.7202
2026-06-20 00:05:07,deleted_count,,,0,
